outcome,contact_channel_group,contact_timing,cohort,src_risk_tier,segment_label,users,median__frequency,median__breadth,median__tenure,median__tt_cost,score__frequency,score__breadth,score__tenure,score__tt_cost,profile_magnitude,dominant_metric
Stopped,Online Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Stopped · Online Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing,82,3.5,0.0,1192.5,386.946,-0.5410958904109588,-0.5714285714285714,-0.43718166383701185,-0.23580796571031853,0.9306173105805969,breadth
Stopped,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Stopped · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk,37,34.0,4.0,1815.0,656.0100000000001,-0.1232876712328767,0.0,0.6196943972835314,0.5763503825895355,0.8552197141166292,tenure
Stopped,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Stopped · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk,52,1.5,0.0,1332.0,493.173,-0.5684931506849316,-0.5714285714285714,-0.200339558573854,0.08483375843281675,0.8348938734473875,breadth
Stopped,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,3. Medium risk,Stopped · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 3. Medium risk,38,1.0,0.0,1392.0,498.50100000000003,-0.5753424657534247,-0.5714285714285714,-0.09847198641765705,0.10091610196350703,0.8230615753931639,frequency
Stopped,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Stopped · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk,46,26.0,4.0,1789.0,624.7080000000001,-0.2328767123287671,0.0,0.5755517826825127,0.4818666143467305,0.7859305641823929,tenure
Saved,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Saved · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk,109,87.0,7.0,1556.0,459.24300000000005,0.6027397260273972,0.42857142857142855,0.1799660441426146,-0.017582517092017486,0.7613577140024059,frequency
Stopped,Online Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Stopped · Online Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk,53,81.0,7.0,1636.0,515.1510000000001,0.5205479452054794,0.42857142857142855,0.3157894736842105,0.15117342549691393,0.7597499778951123,frequency
Stopped,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Stopped · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,118,82.5,7.0,1541.5,474.192,0.5410958904109588,0.42857142857142855,0.15534804753820036,0.027540409604733022,0.7080605355776516,frequency
Saved,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Saved · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,122,83.5,6.0,1569.5,382.7581666666666,0.5547945205479452,0.2857142857142857,0.2028862478777589,-0.24844876419304052,0.7016546380508101,frequency
Stopped,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Stopped · Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk,49,37.0,5.0,1697.0,635.697,-0.0821917808219178,0.14285714285714285,0.41935483870967744,0.5150364478787789,0.6843132875319564,tt_cost
Stopped,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Stopped · Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,100,76.0,7.0,1573.5,519.8861666666667,0.4520547945205479,0.42857142857142855,0.2096774193548387,0.1654663265870801,0.6777689370709586,frequency
Stopped,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Stopped · Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing,87,7.5,1.0,1439.0,486.51300000000003,-0.4863013698630137,-0.42857142857142855,-0.01867572156196944,0.06473082901945404,0.6516911496405369,frequency
Saved,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Saved · Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,27,69.0,7.0,1454.0,364.645,0.3561643835616438,0.42857142857142855,0.006791171477079796,-0.303122594666385,0.634394171562849,breadth
Stopped,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,3. Medium risk,Stopped · Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 3. Medium risk,47,8.0,2.0,1359.0,493.173,-0.4794520547945205,-0.2857142857142857,-0.15449915110356535,0.08483375843281675,0.5852979413678748,frequency
Stopped,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Stopped · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk,80,79.0,6.0,1488.0,433.0665,0.4931506849315068,0.2857142857142857,0.06451612903225806,-0.09659517952278174,0.5816555774012523,frequency
Saved,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Saved · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk,32,43.5,4.0,1726.5,574.9245000000001,0.00684931506849315,0.0,0.46943972835314096,0.3315972169818442,0.5747845561454157,tenure
Stopped,Online Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Stopped · Online Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk,26,46.0,7.0,1568.0,566.6926666666667,0.0410958904109589,0.42857142857142855,0.200339558573854,0.30674977487335076,0.5653261931936664,breadth
Saved,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Saved · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk,25,13.0,2.0,1360.0,462.87000000000006,-0.410958904109589,-0.2857142857142857,-0.15280135823429541,-0.006634570397983437,0.5233661686914718,frequency
Stopped,Online Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Stopped · Online Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing,124,14.5,3.0,1344.5,453.0388333333334,-0.3904109589041096,-0.14285714285714285,-0.17911714770797962,-0.03630953279302922,0.4541257698836554,frequency
Saved,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Saved · Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing,105,70.0,5.0,1405.5,414.4185,0.3698630136986301,0.14285714285714285,-0.07555178268251274,-0.1528833818801974,0.4316111820715157,frequency
Stopped,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Stopped · Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing,89,21.0,3.0,1328.0,443.556,-0.3013698630136986,-0.14285714285714285,-0.2071307300509338,-0.06493306569673556,0.3979339140490679,frequency
Saved,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Saved · Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing,81,65.0,5.0,1475.0,453.213,0.3013698630136986,0.14285714285714285,0.042444821731748725,-0.0357838180473595,0.3381035375799668,frequency
Saved,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Saved · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk,27,44.0,5.0,1453.0,502.83000000000004,0.0136986301369863,0.14285714285714285,0.0050933786078098476,0.11398300608219282,0.1833408953673778,breadth
