segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,metric,n__saved,non_null__saved,clipped_median__saved,clipped_q25__saved,clipped_q75__saved,clipped_iqr__saved,n__stopped,non_null__stopped,clipped_median__stopped,clipped_q25__stopped,clipped_q75__stopped,clipped_iqr__stopped,clipped_median_difference,clipped_median_difference_ci_lower,clipped_median_difference_ci_upper,bootstrap_iterations,confidence_level
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Control,breadth,10,10,1.0,0.0,5.0,5.0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Control,tenure,10,10,1344.0,335.25,1605.5,1270.25,17,17,1332.0,1200.0,1508.0,308.0,12.0,-1084.0,386.0,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Control,tt_cost,10,10,447.552,111.63825,528.5625,416.92425000000003,17,17,684.981,443.556,799.2,355.64400000000006,-237.42899999999997,-642.1093333333333,43.906000000000006,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Midpoint,frequency,8,8,10.5,1.75,29.0,27.25,13,13,6.0,0.0,19.0,19.0,4.5,-17.0,35.0,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Midpoint,breadth,8,8,1.0,0.75,5.0,4.25,13,13,1.0,0.0,6.0,6.0,0.0,-5.0,5.0,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Midpoint,tenure,8,8,1452.0,1083.5,1547.75,464.25,13,13,1147.0,333.0,1363.0,1030.0,305.0,-464.0,1237.5,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Midpoint,tt_cost,8,8,483.516,360.80549999999994,515.40075,154.59525000000008,13,13,433.566,110.889,520.366,409.477,49.950000000000045,-213.45300000000003,412.0875000000001,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Tiered,frequency,7,7,15.0,6.0,21.0,15.0,22,22,1.0,0.0,9.0,9.0,14.0,0.987500000000022,23.0,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Tiered,breadth,7,7,2.0,1.0,5.0,4.0,22,22,0.0,0.0,4.25,4.25,2.0,-0.5,7.0,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Tiered,tenure,7,7,1360.0,1314.0,1390.0,76.0,22,22,1443.0,1253.0,1509.75,256.75,-83.0,-178.0125,92.0,2000,0.95
4,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Tiered,tt_cost,7,7,462.87000000000006,437.562,571.2083333333334,133.64633333333336,22,22,497.835,436.31325,622.0440000000001,185.7307500000001,-34.96499999999992,-79.27064999999999,196.53016666666667,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,frequency,19,19,44.0,13.0,60.0,47.0,8,8,34.5,11.75,56.25,44.5,9.5,-26.512499999999978,42.0,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,breadth,19,19,4.0,2.0,6.0,4.0,8,8,1.0,0.0,4.5,4.5,3.0,-3.0,5.0,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,tenure,19,19,1695.0,937.0,2242.5,1305.5,8,8,1862.5,1338.25,2174.25,836.0,-167.5,-963.0,674.0,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,tt_cost,19,19,564.4350000000001,275.5575,746.7525,471.19500000000005,8,8,682.8518333333334,529.5532499999999,929.6527500000001,400.09950000000015,-118.41683333333333,-834.498,203.66696249999896,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,frequency,6,6,41.0,33.5,44.75,11.25,14,14,39.0,32.25,53.75,21.5,2.0,-17.512499999999978,17.5,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,breadth,6,6,5.0,2.5,6.75,4.25,14,14,5.5,4.0,8.75,4.75,-0.5,-5.0,3.0,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,tenure,6,6,887.0,392.75,1904.0,1511.25,14,14,1743.0,1511.75,1964.25,452.5,-856.0,-1560.0,618.5,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,tt_cost,6,6,329.46933333333334,176.85991666666666,634.032,457.1720833333334,14,14,604.4453333333333,472.527,697.2525,224.72550000000007,-274.976,-489.71301249999993,392.93121666666656,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,frequency,7,7,39.0,29.5,48.5,19.0,15,15,31.0,11.0,45.5,34.5,8.0,-16.0,36.0,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,breadth,7,7,2.0,1.0,4.0,3.0,15,15,4.0,2.0,5.0,3.0,-2.0,-4.0,1.0,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,tenure,7,7,1907.0,1633.0,2120.5,487.5,15,15,1873.0,1144.0,2366.0,1222.0,34.0,-668.0,911.0,2000,0.95
5,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,tt_cost,7,7,635.0310000000001,543.789,697.3530000000001,153.56400000000008,15,15,723.0176666666667,493.00649999999996,798.8670000000001,305.8605000000001,-87.98666666666668,-316.0686666666666,262.071,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,frequency,79,79,81.0,54.0,90.0,36.0,8,8,68.5,59.75,83.25,23.5,12.5,-8.5,26.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,breadth,79,79,6.0,3.0,9.0,6.0,8,8,8.0,5.75,9.25,3.5,-2.0,-4.0,1.5,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,tenure,79,79,1600.0,1223.5,1956.5,733.0,8,8,1810.0,1485.75,2637.75,1152.0,-210.0,-1210.5,217.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,tt_cost,79,79,382.89933333333335,277.1945,553.4595,276.26500000000004,8,8,641.9831666666666,467.9054166666667,992.12075,524.2153333333333,-259.0838333333333,-775.147958333333,50.321333333333314,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,frequency,31,31,87.0,65.0,91.0,26.0,50,50,81.0,64.0,88.75,24.75,6.0,-2.5,15.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,breadth,31,31,7.0,3.5,9.0,5.5,50,50,7.0,4.25,9.0,4.75,0.0,-3.0,2.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tenure,31,31,1454.0,1177.0,2183.5,1006.5,50,50,1424.0,1155.5,1841.25,685.75,30.0,-254.09999999999982,547.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tt_cost,31,31,387.2486666666667,281.44966666666664,584.3875,302.9378333333334,50,50,417.74850000000004,207.00183333333337,627.5765833333332,420.5747499999999,-30.499833333333356,-156.3618083333333,100.46483333333333,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,frequency,12,12,88.5,82.0,91.0,9.0,60,60,85.5,58.0,89.0,31.0,3.0,-8.0,10.0,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,breadth,12,12,5.0,2.0,8.5,6.5,60,60,6.5,4.0,10.0,6.0,-1.5,-5.0,2.512499999999932,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,tenure,12,12,1581.0,1364.25,1989.5,625.25,60,60,1607.0,1283.5,1993.0,709.5,-26.0,-308.5374999999999,454.02499999999986,2000,0.95
6,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Tiered,tt_cost,12,12,371.28599999999994,291.2065,569.5965000000001,278.3900000000001,60,60,508.49100000000004,286.0101666666667,724.35825,438.3480833333333,-137.2050000000001,-245.58097916666665,135.5393249999999,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Control,frequency,49,49,85.0,60.0,90.0,30.0,13,13,64.0,51.0,76.0,25.0,21.0,6.0,34.024999999999864,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Control,breadth,49,49,6.0,2.0,10.0,8.0,13,13,7.0,1.0,9.0,8.0,-1.0,-4.0,5.0,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Control,tenure,49,49,1698.0,1453.0,2000.0,547.0,13,13,1515.0,1206.0,1755.0,549.0,183.0,-120.0,522.0,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Control,tt_cost,49,49,537.462,391.275,649.5666666666667,258.29166666666674,13,13,397.602,256.077,534.465,278.38800000000003,139.86,-15.677850000000003,319.2896666666666,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Midpoint,frequency,37,37,87.0,77.0,90.0,13.0,27,27,80.0,47.0,87.0,40.0,7.0,3.0,21.0,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Midpoint,breadth,37,37,8.0,5.0,10.0,5.0,27,27,4.0,2.0,9.0,7.0,4.0,-1.0,6.0,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tenure,37,37,1418.0,1147.0,1634.0,487.0,27,27,1549.0,1284.0,1918.5,634.5,-131.0,-441.0,61.0,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tt_cost,37,37,391.275,206.41966666666667,496.651,290.23133333333334,27,27,483.849,386.17150000000004,574.6355000000001,188.46400000000006,-92.57400000000001,-264.65366666666665,1.6649999999999636,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Tiered,frequency,23,23,88.0,82.5,90.5,8.0,40,40,82.5,63.25,90.0,26.75,5.5,-2.0,13.5,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Tiered,breadth,23,23,9.0,4.5,12.0,7.5,40,40,6.0,3.0,9.0,6.0,3.0,-1.0,6.0,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Tiered,tenure,23,23,1475.0,1275.5,1968.0,692.5,40,40,1390.5,1178.0,1756.0,578.0,84.5,-238.03749999999994,459.0,2000,0.95
7,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Tiered,tt_cost,23,23,474.858,395.7075,632.3088333333334,236.6013333333334,40,40,415.4571666666667,211.11858333333336,558.02475,346.90616666666665,59.40083333333331,-40.959,203.46902499999993,2000,0.95
